,Player,Position,90s,xAG,NPxG,LPPA,LPrgP,LKP,LxA,LFTP,CaCPA,Att_Pen,Mid_3rd,Att_3rd,Live,npxG/Sh,SSh,SSoT,ADWon,Off
66,Daniel Ciofani,centre-forward,11.8,0.035593220338983045,0.12612163509471586,0.06779661016949153,0.0847457627118644,0.0847457627118644,0.07627118644067796,0.11016949152542373,0.00847457627118644,0.18523002421307502,0.33615819209039544,0.27627118644067794,0.2508474576271186,0.12612163509471586,0.23728813559322035,0.11016949152542373,0.11864406779661016,0.1016949152542373
67,Lorenzo Colombo,centre-forward,16.8,0.049999999999999996,0.17717086834733894,0.07142857142857144,0.125,0.10119047619047619,0.02976190476190476,0.08333333333333333,0.03571428571428572,0.1887755102040816,0.5277777777777777,0.3619047619047619,0.39809523809523806,0.17717086834733894,0.25595238095238093,0.06547619047619048,0.0976190476190476,0.09523809523809523
68,Ángel Correa,second striker,16.2,0.12962962962962962,0.2875816993464053,0.23456790123456794,0.3580246913580247,0.14197530864197533,0.22222222222222224,0.16666666666666669,0.14814814814814817,0.31481481481481477,0.5823045267489712,0.4679012345679013,0.5688888888888889,0.2875816993464053,0.2654320987654321,0.11111111111111112,0.01234567901234568,0.17283950617283952
69,Joaquín Correa,second striker,10.6,0.07358490566037737,0.2075471698113208,0.169811320754717,0.27358490566037735,0.14150943396226418,0.09433962264150944,0.21698113207547173,0.0849056603773585,0.1495956873315364,0.5754716981132075,0.34528301886792456,0.41962264150943396,0.2075471698113208,0.20754716981132076,0.07547169811320756,0.015094339622641511,0.03773584905660378
70,Diego Costa,centre-forward,13.8,0.03043478260869565,0.1500426257459506,0.05797101449275363,0.09420289855072464,0.07971014492753624,0.05072463768115942,0.06521739130434782,0.07971014492753624,0.18322981366459623,0.3381642512077294,0.23333333333333334,0.22840579710144923,0.1500426257459506,0.20289855072463767,0.10144927536231883,0.08695652173913043,0.23188405797101452
71,Nuno da Costa,centre-forward,22.3,0.09955156950672646,0.13057240833553155,0.10762331838565023,0.14349775784753363,0.11210762331838564,0.10313901345291479,0.09865470852017938,0.06726457399103139,0.14990390775144136,0.49925261584454406,0.2905829596412556,0.3623318385650224,0.13057240833553155,0.17488789237668162,0.06278026905829596,0.08071748878923767,0.04484304932735426
72,Matheus Cunha,centre-forward,14.9,0.05637583892617449,0.1476510067114094,0.06711409395973154,0.14093959731543623,0.087248322147651,0.04026845637583893,0.07382550335570469,0.07382550335570469,0.1927133269415148,0.5167785234899329,0.2751677852348993,0.3801342281879194,0.1476510067114094,0.2550335570469799,0.10067114093959731,0.02684563758389262,0.05369127516778524
73,Moanes Dabbur,centre-forward,10.4,0.12692307692307692,0.21776018099547514,0.15384615384615385,0.3173076923076923,0.15384615384615385,0.21153846153846154,0.1346153846153846,0.05769230769230769,0.17307692307692304,0.6282051282051282,0.3673076923076923,0.46769230769230763,0.21776018099547514,0.21153846153846156,0.1346153846153846,0.02692307692307692,0.1923076923076923
74,Patson Daka,centre-forward,13.2,0.12727272727272726,0.17156862745098042,0.12121212121212122,0.12878787878787878,0.12878787878787878,0.12878787878787878,0.05303030303030303,0.08333333333333334,0.18831168831168832,0.44191919191919193,0.3484848484848485,0.3781818181818182,0.17156862745098042,0.2272727272727273,0.12121212121212122,0.0787878787878788,0.10606060606060606
75,Thijs Dallinga,centre-forward,26.1,0.045977011494252866,0.24295695289610103,0.038314176245210725,0.11494252873563218,0.0842911877394636,0.04980842911877394,0.07279693486590037,0.03065134099616858,0.18062397372742198,0.4355044699872286,0.26130268199233714,0.2807662835249042,0.24295695289610103,0.23371647509578541,0.11494252873563218,0.08582375478927202,0.1685823754789272
76,Jonathan David,centre-forward,35.2,0.10397727272727271,0.2775735294117648,0.19318181818181818,0.26988636363636365,0.15056818181818182,0.16193181818181818,0.1534090909090909,0.11079545454545454,0.260551948051948,0.5009469696969696,0.3534090909090909,0.39136363636363636,0.2775735294117648,0.26988636363636365,0.125,0.01818181818181818,0.13068181818181818
77,Manuel De Luca,centre-forward,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714285714,0.6,0.2,0.28800000000000003,0.0,0.0,0.0,0.0,0.0
79,Grégoire Defrel,centre-forward,13.0,0.023076923076923078,0.1742081447963801,0.015384615384615385,0.07692307692307693,0.06923076923076923,0.015384615384615385,0.09230769230769231,0.015384615384615385,0.11208791208791208,0.44871794871794873,0.2446153846153846,0.2855384615384615,0.1742081447963801,0.12307692307692308,0.07692307692307693,0.018461538461538463,0.09230769230769231
80,Andy Delort,centre-forward,13.9,0.09064748201438849,0.2560304697418536,0.17266187050359713,0.2014388489208633,0.14388489208633093,0.1079136690647482,0.16546762589928057,0.007194244604316547,0.21274409044193215,0.5467625899280576,0.3539568345323741,0.41438848920863314,0.2560304697418536,0.2949640287769784,0.12949640287769784,0.11510791366906474,0.15827338129496404
81,Moussa Dembélé,centre-forward,9.7,0.018556701030927835,0.25348696179502733,0.22680412371134026,0.2371134020618557,0.04123711340206186,0.051546391752577324,0.08247422680412372,0.05154639175257733,0.22091310751104565,0.4639175257731959,0.2948453608247423,0.33319587628865976,0.25348696179502733,0.288659793814433,0.13402061855670105,0.11958762886597939,0.16494845360824745
